lncRNA_ID,lncRNA_Class,mRNA_ID
STRG.1058.1,intronic,XM_027331907.1
STRG.1062.1,intronic,XM_027332108.1
STRG.1063.1,overlapping,XR_003471664.1
STRG.1064.1,intronic,XR_003471664.1
STRG.1065.1,overlapping,XM_004490758.3
STRG.1067.1,antisense,XM_004490768.3
STRG.1069.1,overlapping,XR_003471470.1
STRG.1069.1,overlapping,XM_027331702.1
STRG.1069.1,overlapping,XR_003471468.1
STRG.1069.1,overlapping,XR_003471465.1
STRG.1069.1,overlapping,XR_003471466.1
STRG.1069.1,overlapping,XR_003471464.1
STRG.1069.1,overlapping,XR_003471469.1
STRG.1069.1,overlapping,XR_003471467.1
STRG.1069.1,overlapping,XR_003471463.1
STRG.107.1,intronic,XM_012712551.2
STRG.1072.1,intronic,XM_012713051.2
STRG.1072.1,intronic,XM_027331927.1
STRG.1072.1,intronic,XM_004490778.3
STRG.1072.1,intronic,XM_012713052.2
STRG.1072.1,intronic,XM_004490776.3
STRG.1072.1,intronic,XM_004490777.3
STRG.1074.1,overlapping,XR_189446.2
STRG.1075.1,antisense,XR_003471578.1
STRG.1075.1,intronic,XM_027331938.1
STRG.1075.1,antisense,XR_003471579.1
STRG.1075.1,antisense,XR_003471580.1
STRG.1076.1,intronic,XR_003471578.1
STRG.1076.1,intronic,XR_003471579.1
STRG.1076.1,overlapping,XR_003471577.1
STRG.1076.1,antisense,XM_027331938.1
STRG.1076.1,overlapping,XR_001143409.2
STRG.1076.1,overlapping,XR_001143412.2
STRG.1076.1,intronic,XR_003471580.1
STRG.1076.1,overlapping,XR_001143406.2
STRG.1076.1,overlapping,XR_003471576.1
STRG.1077.1,antisense,XR_003471579.1
STRG.1077.1,antisense,XR_001143406.2
STRG.1077.1,antisense,XR_003471580.1
STRG.1077.1,antisense,XR_003471665.1
STRG.1077.1,antisense,XR_003471578.1
STRG.1077.1,antisense,XR_003471576.1
STRG.108.1,antisense,XM_004486074.3
STRG.108.1,antisense,XM_004486073.3
STRG.1080.1,intronic,XR_003471462.1
STRG.1080.1,overlapping,XR_001143403.2
STRG.1080.2,intronic,XR_003471462.1
STRG.1080.2,overlapping,XR_001143403.2
STRG.1081.1,antisense,XM_004490835.3
STRG.1081.1,overlapping,XM_004490836.3
STRG.1082.1,overlapping,XM_004490837.3
STRG.1083.1,overlapping,XM_004490839.3
STRG.1084.1,intronic,XM_027332112.1
STRG.1086.1,antisense,XM_027331664.1
STRG.1089.1,overlapping,XM_027331945.1
STRG.1089.1,overlapping,XR_003471583.1
STRG.109.1,intronic,XM_004486076.3
STRG.1090.1,overlapping,XM_004490883.3
STRG.1090.1,overlapping,XM_004490884.3
STRG.1090.1,overlapping,XM_027331749.1
STRG.1090.1,overlapping,XM_004490885.3
STRG.1092.1,overlapping,XM_027331950.1
STRG.1092.1,overlapping,XM_027331951.1
STRG.1092.1,overlapping,XM_004490920.3
STRG.1092.1,overlapping,XM_004490916.3
STRG.1092.1,overlapping,XM_004490919.3
STRG.1092.1,overlapping,XM_027331949.1
STRG.1093.1,overlapping,XM_027331578.1
STRG.1094.1,overlapping,XR_003471584.1
STRG.1094.1,antisense,XM_004490932.3
STRG.1094.1,antisense,XR_189451.3
STRG.1095.1,overlapping,XR_001143415.2
STRG.1097.1,antisense,XM_004490999.1
STRG.1098.1,overlapping,XR_189452.2
STRG.1099.1,overlapping,XM_027332116.1
STRG.11.1,overlapping,XM_004485383.3
STRG.110.1,overlapping,XR_003471370.1
STRG.1100.1,intronic,XM_027332116.1
STRG.1101.1,intronic,XM_027332116.1
STRG.1102.1,intronic,XM_004490953.2
STRG.1103.1,overlapping,XM_004490952.2
STRG.1104.1,overlapping,XM_004490952.2
STRG.1106.1,overlapping,XR_003471426.1
STRG.1107.1,overlapping,XM_027332117.1
STRG.1108.1,overlapping,XM_004491004.1
STRG.1109.1,overlapping,XR_003471443.1
STRG.111.1,antisense,XM_027336267.1
STRG.1110.1,overlapping,XM_004490981.3
STRG.1111.1,antisense,XM_004490982.3
STRG.1112.1,overlapping,XM_004491005.2
STRG.1112.1,overlapping,XM_027332179.1
STRG.1113.1,overlapping,XM_004490990.3
STRG.1114.1,overlapping,XM_012713097.2
STRG.1115.1,overlapping,XM_012713091.2
STRG.1115.1,overlapping,XM_027331779.1
STRG.1116.1,overlapping,XR_003471473.1
STRG.1117.1,intronic,XR_003471656.1
STRG.1118.1,overlapping,XM_004491012.3
STRG.1118.1,overlapping,XM_012713108.2
STRG.1119.1,overlapping,XR_003471660.1
STRG.1119.1,intronic,XR_003471661.1
STRG.112.1,overlapping,XM_027336271.1
STRG.1121.1,antisense,XM_004491018.3
STRG.1122.1,overlapping,XM_004491022.3
STRG.1122.1,overlapping,XM_004491021.3
STRG.1123.1,antisense,XM_004491028.3
STRG.1124.1,intronic,XM_027331979.1
STRG.1128.1,overlapping,XM_004491037.3
STRG.1129.1,overlapping,NM_001309672.1
STRG.1129.1,overlapping,XM_012713109.2
STRG.113.1,antisense,XM_004486095.3
STRG.1130.1,overlapping,XR_189454.3
STRG.1131.1,antisense,XM_004491071.3
STRG.1131.1,antisense,XM_012713164.2
STRG.1132.1,intronic,XM_004491071.3
STRG.1132.1,intronic,XM_012713164.2
STRG.1133.1,overlapping,XM_027332120.1
STRG.1134.1,intronic,XM_012713138.2
STRG.1134.2,intronic,XM_012713138.2
STRG.1135.1,antisense,XM_027331984.1
STRG.1135.1,antisense,XM_027331983.1
STRG.1135.1,antisense,XM_012713180.2
STRG.1136.1,overlapping,XM_012713122.2
STRG.1136.1,overlapping,XM_012713121.2
STRG.1138.1,intronic,XR_189456.2
STRG.114.1,antisense,XR_003473095.1
STRG.114.1,antisense,XM_004486099.3
STRG.1140.1,antisense,XM_004491237.3
STRG.1140.1,antisense,XM_004491114.3
STRG.1142.1,antisense,XM_004491120.3
STRG.1142.1,antisense,XM_012713185.2
STRG.1142.1,antisense,XM_027331991.1
STRG.1143.1,intronic,XM_027331559.1
STRG.1143.1,intronic,XM_004491124.3
STRG.1143.1,intronic,XM_004491123.3
STRG.1144.1,intronic,XM_004491123.3
STRG.1144.1,intronic,XM_004491124.3
STRG.1144.1,intronic,XM_027331559.1
STRG.1145.1,antisense,XM_004491136.3
STRG.1145.1,antisense,XM_004491137.3
STRG.1145.1,antisense,XM_004491135.3
STRG.1147.1,overlapping,XM_004491168.3
STRG.1148.1,intronic,XM_012713153.2
STRG.1149.1,overlapping,XM_027331616.1
STRG.1149.1,overlapping,XM_004491172.3
STRG.115.1,overlapping,XM_027336278.1
STRG.1150.1,intronic,XM_027332123.1
STRG.1152.1,antisense,XM_004491187.3
STRG.1152.1,antisense,XM_004491186.3
STRG.1154.1,intronic,XR_003471654.1
STRG.1156.1,overlapping,XR_003471658.1
STRG.1158.1,intronic,XM_012713190.2
STRG.1159.1,antisense,XM_004491281.2
STRG.1159.1,antisense,XM_004491280.3
STRG.1159.1,overlapping,XM_004491279.3
STRG.116.1,overlapping,XM_004486102.3
STRG.1160.1,overlapping,XM_004491287.3
STRG.1161.1,overlapping,XM_004491291.3
STRG.1162.1,overlapping,XM_027332024.1
STRG.1163.1,antisense,XM_027332023.1
STRG.1163.1,antisense,XM_027332022.1
STRG.1163.1,antisense,XM_004491297.3
STRG.1166.1,intronic,XM_004491332.3
STRG.1168.1,overlapping,XM_004491333.3
STRG.1169.1,overlapping,XR_003471666.1
STRG.1169.1,overlapping,XR_189464.3
STRG.1169.1,overlapping,XR_001143422.2
STRG.1169.1,overlapping,XR_001143423.2
STRG.1169.2,overlapping,XR_003471666.1
STRG.1169.2,overlapping,XR_001143423.2
STRG.1169.2,overlapping,XR_001143422.2
STRG.1169.2,overlapping,XR_189464.3
STRG.117.1,antisense,XM_004486105.2
STRG.117.1,antisense,XM_027330929.1
STRG.1170.1,intronic,XM_027331635.1
STRG.1170.1,intronic,XM_027331636.1
STRG.1170.1,intronic,XM_004491353.3
STRG.1171.1,intronic,XM_027331554.1
STRG.1172.1,intronic,XM_004491404.3
STRG.1173.1,intronic,XM_027332127.1
STRG.1174.1,overlapping,XM_027332127.1
STRG.1175.1,antisense,XM_004491371.3
STRG.1176.1,intronic,XM_004491372.3
STRG.1177.1,overlapping,XM_004491388.3
STRG.1177.1,overlapping,XM_027332033.1
STRG.1177.1,overlapping,XM_027332034.1
STRG.1177.1,overlapping,XM_027332035.1
STRG.1178.1,antisense,XM_004491411.1
STRG.1179.1,antisense,XM_004491397.3
STRG.118.1,intronic,XM_004486106.3
STRG.1180.1,antisense,XM_004491398.3
STRG.1181.1,antisense,XM_004491417.3
STRG.1181.1,antisense,XM_012713238.2
STRG.1181.1,antisense,XM_004491416.3
STRG.1183.1,intronic,XM_012713280.2
STRG.1183.1,intronic,XM_012713279.2
STRG.1184.1,antisense,XM_012713280.2
STRG.1184.1,antisense,XM_012713279.2
STRG.1184.1,antisense,XM_027332040.1
STRG.1184.1,overlapping,XM_004491422.3
STRG.1185.1,antisense,XM_004491427.2
STRG.1185.1,antisense,XM_004491423.2
STRG.1185.1,antisense,XM_004491424.3
STRG.1186.1,antisense,XM_004491423.2
STRG.1186.1,antisense,XM_004491427.2
STRG.1186.1,antisense,XM_004491424.3
STRG.1187.1,overlapping,XM_004491429.3
STRG.1187.1,overlapping,XM_004491428.3
STRG.1188.1,antisense,XM_004491430.3
STRG.1189.1,intronic,XM_004491602.3
STRG.119.1,intronic,XR_189275.3
STRG.1190.1,overlapping,XR_003471653.1
STRG.1191.1,antisense,XM_004491447.3
STRG.1191.1,antisense,XM_004491446.3
STRG.1192.1,overlapping,XM_004491447.3
STRG.1192.1,overlapping,XM_004491446.3
STRG.1193.1,overlapping,XM_004491452.3
STRG.1194.1,overlapping,XM_004491454.3
STRG.1196.1,overlapping,XM_004491462.3
STRG.1197.1,antisense,XM_012713248.2
STRG.1198.1,intronic,XM_027331587.1
STRG.1198.1,intronic,XM_027331585.1
STRG.1198.1,intronic,XM_027331586.1
STRG.1198.1,intronic,XM_027331589.1
STRG.1198.1,intronic,XM_027331588.1
STRG.1199.1,intronic,XM_012713260.2
STRG.12.1,antisense,XM_004485383.3
STRG.120.1,overlapping,XR_003470945.1
STRG.1200.1,intronic,XM_004491478.3
STRG.1200.1,intronic,XM_027331617.1
STRG.1201.1,antisense,XM_027331583.1
STRG.1202.1,intronic,XM_004491484.3
STRG.1203.1,overlapping,XM_004491494.3
STRG.1203.1,overlapping,XM_012713243.2
STRG.1205.1,intronic,XM_004491500.3
STRG.1206.1,antisense,XM_012713267.2
STRG.1206.1,antisense,XM_027332133.1
STRG.1206.1,antisense,XM_012713266.2
STRG.1206.1,antisense,XM_004491506.3
STRG.1207.1,overlapping,XM_004491513.3
STRG.1208.1,overlapping,XM_012713255.2
STRG.1209.1,overlapping,XM_004491542.3
STRG.1209.1,intronic,XM_027332143.1
STRG.1209.1,overlapping,XM_027332142.1
STRG.121.1,intronic,XM_027330821.1
STRG.121.1,intronic,XM_004486254.3
STRG.1210.1,overlapping,XM_004491549.3
STRG.1210.1,overlapping,XM_004491548.3
STRG.1210.1,overlapping,XM_004491547.3
STRG.1211.1,intronic,XM_004491548.3
STRG.1212.1,antisense,XM_004491560.3
STRG.1212.1,overlapping,XR_001143426.2
STRG.1213.1,overlapping,XM_004491565.3
STRG.1214.1,antisense,XM_004491581.3
STRG.1215.1,overlapping,XR_003471643.1
STRG.1215.1,overlapping,XR_003471642.1
STRG.1215.1,overlapping,XR_003471644.1
STRG.1216.1,overlapping,XR_001143432.2
STRG.1216.1,overlapping,XR_003471490.1
STRG.1216.1,overlapping,XR_003471489.1
STRG.1217.1,intronic,XM_004491635.2
STRG.1218.1,overlapping,XR_003472006.1
STRG.1219.1,overlapping,XM_004491619.3
STRG.1220.1,overlapping,XM_004491621.3
STRG.1221.1,antisense,NM_001364759.1
STRG.1222.1,intronic,XM_012713285.2
STRG.1222.1,intronic,XM_004491627.3
STRG.1223.1,antisense,XM_027332475.1
STRG.1223.1,antisense,XM_027332476.1
STRG.1223.1,antisense,XM_012713286.2
STRG.1225.1,overlapping,XM_027333106.1
STRG.1226.1,overlapping,XM_027332593.1
STRG.1227.1,overlapping,XM_027333107.1
STRG.1229.1,antisense,XM_004491641.3
STRG.123.1,antisense,XR_003470791.1
STRG.123.1,antisense,XM_004486126.3
STRG.1231.1,overlapping,XM_004491660.3
STRG.1231.1,overlapping,XM_027332550.1
STRG.1232.1,intronic,XM_004491661.3
STRG.1233.1,overlapping,XM_004491644.3
STRG.1233.1,intronic,XM_027332766.1
STRG.1233.1,intronic,XM_027332765.1
STRG.1233.1,intronic,XM_012713300.2
STRG.1233.1,intronic,XM_004491645.3
STRG.1233.1,intronic,XM_004491647.3
STRG.1234.1,overlapping,XM_012713292.2
STRG.1234.1,overlapping,NM_001279127.1
STRG.1235.1,intronic,XM_027332598.1
STRG.1236.1,intronic,XR_001143446.2
STRG.1237.1,overlapping,XM_027332716.1
STRG.1237.1,overlapping,XM_027332718.1
STRG.1237.1,overlapping,XR_003471947.1
STRG.1237.1,overlapping,XM_027332717.1
STRG.1238.1,overlapping,XR_003472049.1
STRG.1238.1,overlapping,XM_004491669.3
STRG.1238.1,overlapping,XM_004491668.3
STRG.1239.1,overlapping,XR_003472048.1
STRG.1239.1,overlapping,XR_003472047.1
STRG.124.1,intronic,XR_001143341.2
STRG.1242.1,overlapping,NM_001365170.1
STRG.1246.1,overlapping,XR_003471784.1
STRG.125.1,overlapping,XM_004486149.3
STRG.1252.1,overlapping,XR_003471765.1
STRG.1255.1,intronic,XR_003472060.1
STRG.1256.1,overlapping,XM_004491711.3
STRG.1257.1,antisense,XM_004491715.3
STRG.1258.1,intronic,XR_189472.2
STRG.1259.1,overlapping,XR_001143450.2
STRG.1260.1,overlapping,XM_004491726.3
STRG.1261.1,overlapping,XM_004491727.3
STRG.1262.1,overlapping,XM_012713330.2
STRG.1262.1,overlapping,XR_003471815.1
STRG.1262.1,antisense,XM_012713334.2
STRG.1262.1,overlapping,XM_027332825.1
STRG.1262.1,antisense,XR_189473.2
STRG.1263.1,antisense,XM_027332825.1
STRG.1264.1,intronic,XM_012713330.2
STRG.1264.1,intronic,XR_003471815.1
STRG.1265.1,intronic,XM_004491739.3
STRG.1265.1,intronic,XM_027333074.1
STRG.1266.1,overlapping,XM_004491740.3
STRG.1267.1,intronic,XM_012713332.2
STRG.1267.1,overlapping,XM_004491741.3
STRG.1267.1,overlapping,XM_012713333.2
STRG.1269.1,intronic,XM_004491747.3
STRG.127.1,antisense,XM_004486159.3
STRG.1270.1,overlapping,XM_027332544.1
STRG.1272.1,overlapping,XM_004491763.3
STRG.1274.1,overlapping,XR_003471845.1
STRG.1275.1,antisense,XR_003471762.1
STRG.1275.1,intronic,XM_004491790.3
STRG.1276.1,overlapping,XR_003471762.1
STRG.1276.1,antisense,XM_004491790.3
STRG.1277.1,intronic,XM_004491793.3
STRG.1278.1,overlapping,XR_003472023.1
STRG.1279.1,overlapping,XR_003471778.1
STRG.128.1,overlapping,XM_004486276.3
STRG.1280.1,intronic,XM_004491805.3
STRG.1281.1,overlapping,XM_027332830.1
STRG.1282.1,intronic,XM_004491807.3
STRG.1283.1,overlapping,XM_004491807.3
STRG.1285.1,overlapping,XM_004491823.3
STRG.1286.1,overlapping,XM_004491825.3
STRG.1287.1,antisense,XM_004491835.2
STRG.1288.1,overlapping,XR_001143455.2
STRG.1288.1,antisense,XM_004491834.3
STRG.1289.1,overlapping,XM_004491837.3
STRG.1291.1,overlapping,XM_027332313.1
STRG.1291.1,overlapping,XM_004491849.3
STRG.1291.1,overlapping,XM_027332312.1
STRG.1293.1,overlapping,XM_027332832.1
STRG.1294.1,overlapping,XM_027332832.1
STRG.1296.1,intronic,XM_027332640.1
STRG.1297.1,antisense,XM_027332640.1
STRG.1298.1,overlapping,XM_027332640.1
STRG.1299.1,intronic,XR_003471735.1
STRG.13.1,intronic,XM_027336069.1
STRG.130.1,overlapping,XR_003470468.1
STRG.130.1,overlapping,XM_012714188.2
STRG.1300.1,intronic,XM_027333103.1
STRG.1304.1,antisense,XM_027332833.1
STRG.1305.1,overlapping,XM_004491880.3
STRG.1305.1,intronic,XM_027332833.1
STRG.1306.1,antisense,XM_004491879.3
STRG.1306.1,antisense,XM_027332833.1
STRG.1307.1,overlapping,XM_012713375.2
STRG.1308.1,overlapping,XM_012713375.2
STRG.1309.1,overlapping,XR_189477.3
STRG.131.1,overlapping,XR_001143597.2
STRG.1310.1,antisense,XM_012713392.2
STRG.1310.1,antisense,XM_027332525.1
STRG.1310.1,antisense,XM_027332524.1
STRG.1310.1,antisense,XM_012713393.2
STRG.1310.1,antisense,XM_004491883.3
STRG.1310.1,antisense,XM_027332834.1
STRG.1312.1,intronic,XR_003471818.1
STRG.1313.1,overlapping,XM_027333080.1
STRG.1314.1,overlapping,XM_027333080.1
STRG.1315.1,antisense,XM_012713386.2
STRG.1317.1,overlapping,XR_001143456.2
STRG.1317.1,overlapping,XR_189479.3
STRG.1317.2,overlapping,XR_001143456.2
STRG.1317.2,overlapping,XR_189479.3
STRG.1319.1,intronic,XR_001143457.2
STRG.132.1,antisense,XM_027331176.1
STRG.132.1,antisense,XM_004486346.3
STRG.132.1,antisense,XM_004486345.3
STRG.1321.1,antisense,XM_004491901.3
STRG.1321.1,antisense,XM_004491900.3
STRG.1322.1,overlapping,XM_004491907.3
STRG.1323.1,overlapping,XM_012713384.1
STRG.1323.1,overlapping,XM_027332515.1
STRG.1324.1,intronic,XR_003472038.1
STRG.1326.1,intronic,XM_004491916.3
STRG.1327.1,intronic,XM_012713385.2
STRG.1329.1,overlapping,XR_003471867.1
STRG.1329.1,overlapping,XR_003471868.1
STRG.1329.1,overlapping,XR_001143458.2
STRG.1329.1,overlapping,XR_003471869.1
STRG.133.1,antisense,XM_004486359.3
STRG.1334.1,overlapping,XM_012713399.1
STRG.1336.1,overlapping,XR_189480.3
STRG.1336.1,overlapping,XR_001143459.2
STRG.1336.1,overlapping,XR_003471837.1
STRG.1338.1,overlapping,XM_004491931.3
STRG.134.1,intronic,XM_027331521.1
STRG.1340.1,intronic,XM_004491936.3
STRG.1341.1,overlapping,XR_003472165.1
STRG.1343.1,intronic,XM_027332840.1
STRG.1345.1,overlapping,XM_004491942.2
STRG.1346.1,intronic,XR_003472054.1
STRG.1346.1,intronic,XR_003472055.1
STRG.1347.1,overlapping,XR_189481.3
STRG.1347.2,overlapping,XR_189481.3
STRG.1348.1,overlapping,XM_004491949.1
STRG.1349.1,antisense,XM_004491949.1
STRG.135.1,overlapping,XM_027331521.1
STRG.1352.1,intronic,XM_027332844.1
STRG.1355.1,overlapping,XM_027332845.1
STRG.1356.1,overlapping,XM_027332845.1
STRG.1357.1,overlapping,XM_012713412.2
STRG.1358.1,overlapping,XM_004491957.3
STRG.1358.1,overlapping,XM_012713414.2
STRG.1359.1,overlapping,XM_004491960.3
STRG.136.1,overlapping,XM_004486365.2
STRG.1362.1,overlapping,XM_004491970.3
STRG.1364.1,overlapping,XR_003472067.1
STRG.1364.1,antisense,XM_027332847.1
STRG.1364.1,overlapping,XR_003472066.1
STRG.1368.1,overlapping,XM_004491988.3
STRG.1369.1,overlapping,XR_003471844.1
STRG.1370.1,overlapping,XR_001143461.2
STRG.1371.1,antisense,XM_012713425.2
STRG.1372.1,overlapping,XR_003471801.1
STRG.1372.1,overlapping,XR_003471800.1
STRG.1372.1,overlapping,XM_027332398.1
STRG.1372.1,overlapping,XR_001143460.2
STRG.1373.1,overlapping,XR_003471880.1
STRG.1377.1,overlapping,XM_027332848.1
STRG.1379.1,intronic,XM_027332850.1
STRG.138.1,intronic,XM_004486373.3
STRG.138.1,intronic,XM_012713992.2
STRG.1380.1,antisense,XM_004492024.3
STRG.1380.1,antisense,XM_004492014.3
STRG.1381.1,overlapping,XM_027332543.1
STRG.1381.1,overlapping,XM_027332542.1
STRG.1382.1,antisense,XR_003471823.1
STRG.1383.1,intronic,XR_003471823.1
STRG.1384.1,overlapping,XR_003471824.1
STRG.1384.1,overlapping,XR_003471825.1
STRG.1385.1,overlapping,XR_003472040.1
STRG.1386.1,overlapping,XR_003471888.1
STRG.1387.1,intronic,XR_003471734.1
STRG.1388.1,intronic,XR_003471782.1
STRG.1389.1,overlapping,XR_003471873.1
STRG.139.1,antisense,XM_004486375.3
STRG.139.1,antisense,XM_004486374.3
STRG.1390.1,overlapping,XM_004492028.3
STRG.1391.1,intronic,XM_027332854.1
STRG.1392.1,antisense,XM_004492034.3
STRG.1392.1,antisense,XM_012713444.2
STRG.1392.1,antisense,XM_004492033.3
STRG.1395.1,overlapping,XM_027332745.1
STRG.1396.1,antisense,XM_027333079.1
STRG.1396.1,antisense,XM_004492037.3
STRG.1397.1,intronic,XR_003471864.1
STRG.1398.1,intronic,XM_004492053.3
STRG.14.1,antisense,XM_004485404.3
STRG.140.1,antisense,XM_004486377.3
STRG.140.1,antisense,XM_012714509.2
STRG.140.1,antisense,XM_004486376.3
STRG.140.1,antisense,XM_027331290.1
STRG.1400.1,intronic,XR_003471863.1
STRG.1401.1,overlapping,XR_003471787.1
STRG.1401.1,overlapping,XM_004492065.3
STRG.1405.1,intronic,XM_012713460.2
STRG.1406.1,intronic,XR_003471887.1
STRG.1407.1,intronic,XR_003471753.1
STRG.1408.1,intronic,XM_012713456.2
STRG.1408.1,intronic,XM_004492074.3
STRG.1409.1,intronic,XR_001143467.2
STRG.1409.1,overlapping,XR_003472002.1
STRG.1409.1,intronic,XM_027332935.1
STRG.1409.1,overlapping,XR_001143470.2
STRG.141.1,overlapping,XR_001143578.2
STRG.1410.1,overlapping,XM_004492078.3
STRG.1411.1,intronic,XM_012713466.2
STRG.1413.1,intronic,XR_003472024.1
STRG.1414.1,intronic,XM_027332864.1
STRG.1415.1,antisense,XM_027332301.1
